payee_id,payee_name,payee_type,is_suspicious_network,historical_fraud_count
PAY-5001,Account_5001,Peer-Transfer,False,0
PAY-5002,Merchant_5002,Grocery,False,0
PAY-5003,Account_5003,Peer-Transfer,False,0
PAY-5004,Merchant_5004,Travel,False,0
PAY-5005,Account_5005,Peer-Transfer,False,0
PAY-5006,Merchant_5006,Travel,False,0
PAY-5007,Account_5007,Healthcare,False,0
PAY-5008,Merchant_5008,Peer-Transfer,False,0
PAY-5009,Account_5009,Utilities,False,0
PAY-5010,Merchant_5010,Peer-Transfer,False,0
PAY-5011,Account_5011,Cryptocurrency,False,0
PAY-5012,Merchant_5012,Peer-Transfer,False,0
PAY-5013,Account_5013,Unverified Merchant,False,0
PAY-5014,Merchant_5014,E-commerce,False,0
PAY-5015,Account_5015,Peer-Transfer,False,0
PAY-5016,Merchant_5016,Travel,False,0
PAY-5017,Account_5017,Peer-Transfer,False,0
PAY-5018,Merchant_5018,Travel,False,0
PAY-5019,Account_5019,Travel,False,0
PAY-5020,Merchant_5020,E-commerce,False,0
PAY-5021,Account_5021,Healthcare,False,0
PAY-5022,Merchant_5022,E-commerce,False,0
PAY-5023,Account_5023,Cryptocurrency,False,0
PAY-5024,Merchant_5024,Cryptocurrency,False,0
PAY-5025,Account_5025,E-commerce,False,0
PAY-5026,Merchant_5026,Utilities,False,0
PAY-5027,Account_5027,Unverified Merchant,False,0
PAY-5028,Merchant_5028,Unverified Merchant,False,0
PAY-5029,Account_5029,Peer-Transfer,False,0
PAY-5030,Merchant_5030,Grocery,False,0
PAY-5031,Account_5031,Utilities,False,0
PAY-5032,Merchant_5032,Peer-Transfer,False,0
PAY-5033,Account_5033,Healthcare,False,0
PAY-5034,Merchant_5034,Cryptocurrency,False,0
PAY-5035,Account_5035,Cryptocurrency,False,0
PAY-5036,Merchant_5036,Unverified Merchant,False,0
PAY-5037,Account_5037,Travel,False,0
PAY-5038,Merchant_5038,Grocery,False,0
PAY-5039,Account_5039,Travel,False,0
PAY-5040,Merchant_5040,Grocery,False,0
PAY-5041,Account_5041,E-commerce,False,0
PAY-5042,Merchant_5042,Peer-Transfer,False,0
PAY-5043,Account_5043,Travel,False,0
PAY-5044,Merchant_5044,E-commerce,False,0
PAY-5045,Account_5045,Unverified Merchant,False,0
PAY-5046,Merchant_5046,E-commerce,False,0
PAY-5047,Account_5047,Unverified Merchant,False,0
PAY-5048,Merchant_5048,Cryptocurrency,False,0
PAY-5049,Account_5049,Cryptocurrency,False,0
PAY-5050,Merchant_5050,Travel,False,0
PAY-5051,Account_5051,Healthcare,False,0
PAY-5052,Merchant_5052,Peer-Transfer,False,0
PAY-5053,Account_5053,Utilities,False,0
PAY-5054,Merchant_5054,Peer-Transfer,False,0
PAY-5055,Account_5055,Grocery,False,0
PAY-5056,Merchant_5056,E-commerce,False,0
PAY-5057,Account_5057,Peer-Transfer,False,0
PAY-5058,Merchant_5058,E-commerce,False,0
